timestamp,key,comment
1559661191355,a,session marker
1559661203220,f,+1 thought
1559661211289,j,clear mind
1559661259241,f,+1 thought
1559661266071,f,+1 thought
1559661272774,j,clear mind
1559661313432,f,+1 thought
1559661324354,f,+1 thought
1559661349324,f,+1 thought
1559661350105,f,+1 thought
1559661363740,j,clear mind
1559661382646,f,+1 thought
1559661398759,f,+1 thought
1559661403360,j,clear mind
1559661459683,f,+1 thought
1559661460117,f,+1 thought
1559661482789,f,+1 thought
1559661498789,f,+1 thought
1559661505114,j,clear mind
1559661533625,f,+1 thought
1559661534198,f,+1 thought
1559661534772,f,+1 thought
1559661539478,j,clear mind
1559661573470,f,+1 thought
1559661573940,f,+1 thought
1559661620128,f,+1 thought
1559661620919,f,+1 thought
1559661621548,f,+1 thought
1559661627574,j,clear mind
1559661708330,f,+1 thought
1559661712210,f,+1 thought
1559661719909,f,+1 thought
1559661723370,f,+1 thought
1559661728043,j,clear mind
1559661795517,g,hijacked by thought
1559661802074,j,clear mind
1559661805442,a,session marker
