timestamp,key,comment
1559433660110, a, session marker
1559433765119, f, hijacked by thought
1559433772979, f, hijacked by thought
1559433779815, f, hijacked by thought
1559433797481, f, hijacked by thought
1559433846187, f, hijacked by thought
1559433846859, f, hijacked by thought
1559433856858, j, clear mind
1559433886607, f, hijacked by thought
1559433888785, f, hijacked by thought
1559433889979, f, hijacked by thought
1559433894254, f, hijacked by thought
1559433900681, j, clear mind
1559433961558, j, clear mind
1559433961713, j, clear mind
1559433975585, a, session marker
