timestamp,key,comment
1559751030765,a,session marker
1559751042024,j,clear mind
1559751058472,f,+1 thought
1559751111449,f,+1 thought
1559751118256,j,clear mind
1559751123907,f,+1 thought
1559751131106,j,clear mind
1559751200947,f,+1 thought
1559751201837,f,+1 thought
1559751220570,f,+1 thought
1559751289238,f,+1 thought
1559751316118,j,clear mind
1559751325657,f,+1 thought
1559751326081,f,+1 thought
1559751329510,j,clear mind
1559751362444,f,+1 thought
1559751362906,f,+1 thought
1559751363284,f,+1 thought
1559751367540,j,clear mind
1559751393436,f,+1 thought
1559751393813,f,+1 thought
1559751407879,f,+1 thought
1559751497995,a,session marker
1559751498477,a,session marker
1559751565908,g,hijacked by thought
1559751572881,j,clear mind
1559751600849,g,hijacked by thought
1559751609013,j,clear mind
1559751624384,f,+1 thought
1559751632752,j,clear mind
1559751731936,f,+1 thought
1559751732883,f,+1 thought
1559751733762,f,+1 thought
1559751739310,j,clear mind
1559751747772,f,+1 thought
1559751758226,f,+1 thought
1559751774620,f,+1 thought
1559751786807,f,+1 thought
1559751792290,j,clear mind
1559751872306,g,hijacked by thought
1559751903715,f,+1 thought
1559751911030,f,+1 thought
1559751951958,f,+1 thought
1559751953342,f,+1 thought
1559751954125,f,+1 thought
1559752016388,g,hijacked by thought
1559752062695,g,hijacked by thought
1559752081640,f,+1 thought
1559752082035,f,+1 thought
1559752087823,j,clear mind
1559752115669,a,session marker
