timestamp,key,comment
1559579095394,a,sessionmarker
1559579168951,f,hijackedbythought
1559579182249,f,hijackedbythought
1559579188343,j,clearmind
1559579216850,f,hijackedbythought
1559579293547,f,hijackedbythought
1559579299564,j,clearmind
1559579333075,f,hijackedbythought
1559579333309,f,hijackedbythought
1559579391964,f,hijackedbythought
1559579392542,f,hijackedbythought
1559579394708,f,hijackedbythought
1559579399709,j,clearmind
1559579426710,f,hijackedbythought
1559579427800,f,hijackedbythought
1559579445699,f,hijackedbythought
1559579446528,f,hijackedbythought
1559579447857,f,hijackedbythought
1559579488595,f,hijackedbythought
1559579489086,f,hijackedbythought
1559579489881,f,hijackedbythought
1559579492506,f,hijackedbythought
1559579540724,f,hijackedbythought
1559579541542,f,hijackedbythought
1559579547919,j,clearmind
1559579559311,f,hijackedbythought
1559579560496,f,hijackedbythought
1559579563358,j,clearmind
1559579647541,f,hijackedbythought
1559579648719,f,hijackedbythought
1559579649122,f,hijackedbythought
1559579649514,f,hijackedbythought
1559579654181,j,clearmind
1559579696949,f,hijackedbythought
1559579697460,f,hijackedbythought
1559579697994,f,hijackedbythought
1559579698558,f,hijackedbythought
1559579699136,f,hijackedbythought
1559579703336,j,clearmind
1559579757042,f,hijackedbythought
1559579760517,f,hijackedbythought
1559579787652,f,hijackedbythought
1559579791173,f,hijackedbythought
1559579818242,f,hijackedbythought
1559579824594,f,hijackedbythought
1559579859851,f,hijackedbythought
1559579860176,f,hijackedbythought
1559579860510,f,hijackedbythought
1559579860844,f,hijackedbythought
1559579861151,f,hijackedbythought
1559579861434,f,hijackedbythought
1559579861710,f,hijackedbythought
1559579862004,f,hijackedbythought
1559579865612,j,clearmind
1559579928407,f,hijackedbythought
1559579928751,f,hijackedbythought
1559579929066,f,hijackedbythought
1559579932362,j,clearmind
1559579940603,f,hijackedbythought
1559579944540,j,clearmind
1559580035726,f,hijackedbythought
1559580040526,j,clearmind
1559580104376,f,hijackedbythought
1559580104926,f,hijackedbythought
1559580105148,f,hijackedbythought
1559580105382,f,hijackedbythought
1559580105609,f,hijackedbythought
1559580225748,f,hijackedbythought
1559580226038,f,hijackedbythought
1559580226365,f,hijackedbythought
1559580226674,f,hijackedbythought
1559580226968,f,hijackedbythought
1559580227232,f,hijackedbythought
1559580227526,f,hijackedbythought
1559580227700,f,hijackedbythought
1559580227957,f,hijackedbythought
1559580228109,f,hijackedbythought
1559580228336,f,hijackedbythought
1559580229783,f,hijackedbythought
1559580230086,f,hijackedbythought
1559580236796,j,clearmind
1559580270805,f,hijackedbythought
1559580271273,f,hijackedbythought
1559580271714,f,hijackedbythought
1559580276168,j,clearmind
1559580353530,a,sessionmarker
